class_name,videoname,length
add_new_car_tire,add_new_car_tire_015,183
add_new_car_tire,add_new_car_tire_016,177
add_new_car_tire,add_new_car_tire_017,164
add_new_car_tire,add_new_car_tire_018,137
add_new_car_tire,add_new_car_tire_019,182
adjusting_glasses,adjusting_glasses_000,24
adjusting_glasses,adjusting_glasses_001,19
adjusting_glasses,adjusting_glasses_002,93
adjusting_glasses,adjusting_glasses_003,48
adjusting_glasses,adjusting_glasses_004,35
adjusting_glasses,adjusting_glasses_005,56
adjusting_glasses,adjusting_glasses_006,33
adjusting_glasses,adjusting_glasses_007,23
adjusting_glasses,adjusting_glasses_008,26
adjusting_glasses,adjusting_glasses_009,33
adjusting_glasses,adjusting_glasses_010,40
adjusting_glasses,adjusting_glasses_011,22
adjusting_glasses,adjusting_glasses_012,25
adjusting_glasses,adjusting_glasses_013,27
adjusting_glasses,adjusting_glasses_014,27
adjusting_glasses,adjusting_glasses_015,25
adjusting_glasses,adjusting_glasses_016,17
adjusting_glasses,adjusting_glasses_017,42
adjusting_glasses,adjusting_glasses_018,58
adjusting_glasses,adjusting_glasses_019,27
air_drumming,air_drumming_000,102
air_drumming,air_drumming_001,54
air_drumming,air_drumming_002,51
air_drumming,air_drumming_003,106
air_drumming,air_drumming_004,113
air_drumming,air_drumming_005,54
air_drumming,air_drumming_006,51
air_drumming,air_drumming_007,30
air_drumming,air_drumming_008,97
air_drumming,air_drumming_009,80
air_drumming,air_drumming_010,51
air_drumming,air_drumming_011,42
air_drumming,air_drumming_012,93
air_drumming,air_drumming_013,60
air_drumming,air_drumming_014,49
air_drumming,air_drumming_015,33
air_drumming,air_drumming_016,37
air_drumming,air_drumming_017,74
air_drumming,air_drumming_018,63
air_drumming,air_drumming_019,124
air_guitar,air_guitar_000,111
air_guitar,air_guitar_001,27
air_guitar,air_guitar_002,53
air_guitar,air_guitar_003,43
air_guitar,air_guitar_004,23
air_guitar,air_guitar_005,80
air_guitar,air_guitar_006,19
air_guitar,air_guitar_007,43
air_guitar,air_guitar_008,41
air_guitar,air_guitar_009,48
air_guitar,air_guitar_010,37
air_guitar,air_guitar_011,30
air_guitar,air_guitar_012,26
air_guitar,air_guitar_013,41
air_guitar,air_guitar_014,27
air_guitar,air_guitar_015,45
air_guitar,air_guitar_016,26
air_guitar,air_guitar_017,82
air_guitar,air_guitar_018,38
air_guitar,air_guitar_019,42
air_hocky,air_hocky_000,23
air_hocky,air_hocky_001,127
air_hocky,air_hocky_002,104
air_hocky,air_hocky_003,24
air_hocky,air_hocky_004,105
air_hocky,air_hocky_005,55
air_hocky,air_hocky_006,57
air_hocky,air_hocky_007,29
air_hocky,air_hocky_008,14
air_hocky,air_hocky_009,35
air_hocky,air_hocky_010,34
air_hocky,air_hocky_011,30
air_hocky,air_hocky_012,18
air_hocky,air_hocky_013,38
air_hocky,air_hocky_014,49
air_hocky,air_hocky_015,13
air_hocky,air_hocky_016,130
air_hocky,air_hocky_017,32
air_hocky,air_hocky_018,23
air_hocky,air_hocky_019,43
alligator_wrestling,alligator_wrestling_000,89
alligator_wrestling,alligator_wrestling_001,129
alligator_wrestling,alligator_wrestling_002,100
alligator_wrestling,alligator_wrestling_003,91
alligator_wrestling,alligator_wrestling_004,90
alligator_wrestling,alligator_wrestling_005,140
alligator_wrestling,alligator_wrestling_006,94
alligator_wrestling,alligator_wrestling_007,101
alligator_wrestling,alligator_wrestling_008,71
alligator_wrestling,alligator_wrestling_009,99
alligator_wrestling,alligator_wrestling_010,57
alligator_wrestling,alligator_wrestling_011,102
alligator_wrestling,alligator_wrestling_012,64
alligator_wrestling,alligator_wrestling_013,72
alligator_wrestling,alligator_wrestling_014,57
alligator_wrestling,alligator_wrestling_015,101
alligator_wrestling,alligator_wrestling_016,63
alligator_wrestling,alligator_wrestling_017,67
alligator_wrestling,alligator_wrestling_018,121
alligator_wrestling,alligator_wrestling_019,85
applauding,applauding_000,48
applauding,applauding_001,53
applauding,applauding_002,39
applauding,applauding_003,51
applauding,applauding_004,109
applauding,applauding_005,46
applauding,applauding_006,51
applauding,applauding_007,45
applauding,applauding_008,54
applauding,applauding_009,25
applauding,applauding_010,42
applauding,applauding_011,38
applauding,applauding_012,36
applauding,applauding_013,16
applauding,applauding_014,38
applauding,applauding_015,38
applauding,applauding_016,40
applauding,applauding_017,28
applauding,applauding_018,37
applauding,applauding_019,44
applying_cream,applying_cream_000,99
applying_cream,applying_cream_001,60
applying_cream,applying_cream_002,58
applying_cream,applying_cream_003,41
applying_cream,applying_cream_004,81
applying_cream,applying_cream_005,55
applying_cream,applying_cream_006,39
applying_cream,applying_cream_007,29
applying_cream,applying_cream_008,102
applying_cream,applying_cream_009,57
applying_cream,applying_cream_010,120
applying_cream,applying_cream_011,87
applying_cream,applying_cream_012,49
applying_cream,applying_cream_013,96
applying_cream,applying_cream_014,51
applying_cream,applying_cream_015,85
applying_cream,applying_cream_016,29
applying_cream,applying_cream_017,39
applying_cream,applying_cream_018,132
applying_cream,applying_cream_019,82
archery,archery_000,44
archery,archery_001,45
archery,archery_002,55
archery,archery_003,67
archery,archery_004,20
archery,archery_005,38
archery,archery_006,75
archery,archery_007,37
archery,archery_008,26
archery,archery_009,28
archery,archery_010,24
archery,archery_011,33
archery,archery_012,44
archery,archery_013,18
archery,archery_014,18
archery,archery_015,32
archery,archery_016,32
archery,archery_017,29
archery,archery_018,11
archery,archery_019,48
arm_wave,arm_wave_000,67
arm_wave,arm_wave_001,55
arm_wave,arm_wave_002,90
arm_wave,arm_wave_003,67
arm_wave,arm_wave_004,61
arm_wave,arm_wave_005,42
arm_wave,arm_wave_006,43
arm_wave,arm_wave_007,48
arm_wave,arm_wave_008,50
arm_wave,arm_wave_009,96
arm_wave,arm_wave_010,53
arm_wave,arm_wave_011,78
arm_wave,arm_wave_012,92
arm_wave,arm_wave_013,51
arm_wave,arm_wave_014,77
arm_wave,arm_wave_015,53
arm_wave,arm_wave_016,106
arm_wave,arm_wave_017,127
arm_wave,arm_wave_018,44
arm_wave,arm_wave_019,75
arm_wrestling,arm_wrestling_000,37
arm_wrestling,arm_wrestling_001,54
arm_wrestling,arm_wrestling_002,65
arm_wrestling,arm_wrestling_003,36
arm_wrestling,arm_wrestling_004,60
arm_wrestling,arm_wrestling_005,46
arm_wrestling,arm_wrestling_006,46
arm_wrestling,arm_wrestling_007,74
arm_wrestling,arm_wrestling_008,81
arm_wrestling,arm_wrestling_009,36
arm_wrestling,arm_wrestling_010,87
arm_wrestling,arm_wrestling_011,47
arm_wrestling,arm_wrestling_012,65
arm_wrestling,arm_wrestling_013,84
arm_wrestling,arm_wrestling_014,72
arm_wrestling,arm_wrestling_015,57
arm_wrestling,arm_wrestling_016,43
arm_wrestling,arm_wrestling_017,41
arm_wrestling,arm_wrestling_018,66
arm_wrestling,arm_wrestling_019,45
atlatl_throw,atlatl_throw_000,75
atlatl_throw,atlatl_throw_001,105
atlatl_throw,atlatl_throw_002,21
atlatl_throw,atlatl_throw_003,44
atlatl_throw,atlatl_throw_004,36
atlatl_throw,atlatl_throw_005,25
atlatl_throw,atlatl_throw_006,9
atlatl_throw,atlatl_throw_007,17
atlatl_throw,atlatl_throw_008,14
atlatl_throw,atlatl_throw_009,17
atlatl_throw,atlatl_throw_010,66
atlatl_throw,atlatl_throw_011,25
atlatl_throw,atlatl_throw_012,27
atlatl_throw,atlatl_throw_013,15
atlatl_throw,atlatl_throw_014,30
atlatl_throw,atlatl_throw_015,33
atlatl_throw,atlatl_throw_016,20
atlatl_throw,atlatl_throw_017,46
atlatl_throw,atlatl_throw_018,16
atlatl_throw,atlatl_throw_019,27
axe_throwing,axe_throwing_000,18
axe_throwing,axe_throwing_001,14
axe_throwing,axe_throwing_002,17
axe_throwing,axe_throwing_003,13
axe_throwing,axe_throwing_004,32
axe_throwing,axe_throwing_005,15
axe_throwing,axe_throwing_006,15
axe_throwing,axe_throwing_007,25
axe_throwing,axe_throwing_008,55
axe_throwing,axe_throwing_009,37
axe_throwing,axe_throwing_010,29
axe_throwing,axe_throwing_011,15
axe_throwing,axe_throwing_012,30
axe_throwing,axe_throwing_013,21
axe_throwing,axe_throwing_014,23
axe_throwing,axe_throwing_015,18
axe_throwing,axe_throwing_016,17
axe_throwing,axe_throwing_017,17
axe_throwing,axe_throwing_018,9
axe_throwing,axe_throwing_019,76
backflip,backflip_000,27
backflip,backflip_001,30
backflip,backflip_002,36
backflip,backflip_003,39
backflip,backflip_004,72
backflip,backflip_005,47
backflip,backflip_006,42
backflip,backflip_007,133
backflip,backflip_008,46
backflip,backflip_009,34
backflip,backflip_010,71
backflip,backflip_011,41
backflip,backflip_012,110
backflip,backflip_013,22
backflip,backflip_014,21
backflip,backflip_015,54
backflip,backflip_016,51
backflip,backflip_017,41
backflip,backflip_018,26
backflip,backflip_019,22
backward_roll,backward_roll_000,59
backward_roll,backward_roll_001,75
backward_roll,backward_roll_002,65
backward_roll,backward_roll_003,101
backward_roll,backward_roll_004,81
backward_roll,backward_roll_005,72
backward_roll,backward_roll_006,68
backward_roll,backward_roll_007,40
backward_roll,backward_roll_008,66
backward_roll,backward_roll_009,48
backward_roll,backward_roll_010,81
backward_roll,backward_roll_011,107
backward_roll,backward_roll_012,50
backward_roll,backward_roll_013,49
backward_roll,backward_roll_014,55
backward_roll,backward_roll_015,41
backward_roll,backward_roll_016,48
backward_roll,backward_roll_017,42
backward_roll,backward_roll_018,27
backward_roll,backward_roll_019,36
badminton_overswing,badminton_overswing_000,18
badminton_overswing,badminton_overswing_001,36
badminton_overswing,badminton_overswing_002,45
badminton_overswing,badminton_overswing_003,21
badminton_overswing,badminton_overswing_004,72
badminton_overswing,badminton_overswing_005,17
badminton_overswing,badminton_overswing_006,26
badminton_overswing,badminton_overswing_007,23
badminton_overswing,badminton_overswing_008,21
badminton_overswing,badminton_overswing_009,24
badminton_overswing,badminton_overswing_010,15
badminton_overswing,badminton_overswing_011,25
badminton_overswing,badminton_overswing_012,34
badminton_overswing,badminton_overswing_013,39
badminton_overswing,badminton_overswing_014,51
badminton_overswing,badminton_overswing_015,19
badminton_overswing,badminton_overswing_016,34
badminton_overswing,badminton_overswing_017,14
badminton_overswing,badminton_overswing_018,50
badminton_overswing,badminton_overswing_019,27
badminton_serve,badminton_serve_000,45
badminton_serve,badminton_serve_001,26
badminton_serve,badminton_serve_002,25
badminton_serve,badminton_serve_003,16
badminton_serve,badminton_serve_004,14
badminton_serve,badminton_serve_005,26
badminton_serve,badminton_serve_006,73
badminton_serve,badminton_serve_007,28
badminton_serve,badminton_serve_008,30
badminton_serve,badminton_serve_009,16
badminton_serve,badminton_serve_010,24
badminton_serve,badminton_serve_011,32
badminton_serve,badminton_serve_012,35
badminton_serve,badminton_serve_013,23
badminton_serve,badminton_serve_014,29
badminton_serve,badminton_serve_015,17
badminton_serve,badminton_serve_016,37
badminton_serve,badminton_serve_017,21
badminton_serve,badminton_serve_018,57
badminton_serve,badminton_serve_019,21
badminton_underswing,badminton_underswing_000,22
badminton_underswing,badminton_underswing_001,29
badminton_underswing,badminton_underswing_002,31
badminton_underswing,badminton_underswing_003,17
badminton_underswing,badminton_underswing_004,15
badminton_underswing,badminton_underswing_005,24
badminton_underswing,badminton_underswing_006,15
badminton_underswing,badminton_underswing_007,25
badminton_underswing,badminton_underswing_008,45
badminton_underswing,badminton_underswing_009,26
badminton_underswing,badminton_underswing_010,31
badminton_underswing,badminton_underswing_011,43
badminton_underswing,badminton_underswing_012,38
badminton_underswing,badminton_underswing_013,20
badminton_underswing,badminton_underswing_014,29
badminton_underswing,badminton_underswing_015,56
badminton_underswing,badminton_underswing_016,33
badminton_underswing,badminton_underswing_017,32
badminton_underswing,badminton_underswing_018,23
badminton_underswing,badminton_underswing_019,20
balancebeam_flip,balancebeam_flip_000,39
balancebeam_flip,balancebeam_flip_001,35
balancebeam_flip,balancebeam_flip_002,24
balancebeam_flip,balancebeam_flip_003,38
balancebeam_flip,balancebeam_flip_004,24
balancebeam_flip,balancebeam_flip_005,33
balancebeam_flip,balancebeam_flip_006,45
balancebeam_flip,balancebeam_flip_007,34
balancebeam_flip,balancebeam_flip_008,33
balancebeam_flip,balancebeam_flip_009,39
balancebeam_flip,balancebeam_flip_010,21
balancebeam_flip,balancebeam_flip_011,32
balancebeam_flip,balancebeam_flip_012,30
balancebeam_flip,balancebeam_flip_013,29
balancebeam_flip,balancebeam_flip_014,28
balancebeam_flip,balancebeam_flip_015,35
balancebeam_flip,balancebeam_flip_016,37
balancebeam_flip,balancebeam_flip_017,29
balancebeam_flip,balancebeam_flip_018,66
balancebeam_flip,balancebeam_flip_019,42
balancebeam_jump,balancebeam_jump_000,34
balancebeam_jump,balancebeam_jump_001,38
balancebeam_jump,balancebeam_jump_002,43
balancebeam_jump,balancebeam_jump_003,26
balancebeam_jump,balancebeam_jump_004,31
balancebeam_jump,balancebeam_jump_005,38
balancebeam_jump,balancebeam_jump_006,34
balancebeam_jump,balancebeam_jump_007,40
balancebeam_jump,balancebeam_jump_008,29
balancebeam_jump,balancebeam_jump_009,34
balancebeam_jump,balancebeam_jump_010,34
balancebeam_jump,balancebeam_jump_011,44
balancebeam_jump,balancebeam_jump_012,22
balancebeam_jump,balancebeam_jump_013,34
balancebeam_jump,balancebeam_jump_014,40
balancebeam_jump,balancebeam_jump_015,34
balancebeam_jump,balancebeam_jump_016,40
balancebeam_jump,balancebeam_jump_017,36
balancebeam_jump,balancebeam_jump_018,34
balancebeam_jump,balancebeam_jump_019,32
balancebeam_rotate,balancebeam_rotate_000,89
balancebeam_rotate,balancebeam_rotate_001,45
balancebeam_rotate,balancebeam_rotate_002,56
balancebeam_rotate,balancebeam_rotate_003,32
balancebeam_rotate,balancebeam_rotate_004,75
balancebeam_rotate,balancebeam_rotate_005,42
balancebeam_rotate,balancebeam_rotate_006,34
balancebeam_rotate,balancebeam_rotate_007,71
balancebeam_rotate,balancebeam_rotate_008,40
balancebeam_rotate,balancebeam_rotate_009,42
balancebeam_rotate,balancebeam_rotate_010,29
balancebeam_rotate,balancebeam_rotate_011,56
balancebeam_rotate,balancebeam_rotate_012,30
balancebeam_rotate,balancebeam_rotate_013,41
balancebeam_rotate,balancebeam_rotate_014,30
balancebeam_rotate,balancebeam_rotate_015,64
balancebeam_rotate,balancebeam_rotate_016,49
balancebeam_rotate,balancebeam_rotate_017,54
balancebeam_rotate,balancebeam_rotate_018,49
balancebeam_rotate,balancebeam_rotate_019,64
balancebeam_spin,balancebeam_spin_000,23
balancebeam_spin,balancebeam_spin_001,23
balancebeam_spin,balancebeam_spin_002,32
balancebeam_spin,balancebeam_spin_003,24
balancebeam_spin,balancebeam_spin_004,28
balancebeam_spin,balancebeam_spin_005,57
balancebeam_spin,balancebeam_spin_006,31
balancebeam_spin,balancebeam_spin_007,43
balancebeam_spin,balancebeam_spin_008,26
balancebeam_spin,balancebeam_spin_009,29
balancebeam_spin,balancebeam_spin_010,44
balancebeam_spin,balancebeam_spin_011,21
balancebeam_spin,balancebeam_spin_012,35
balancebeam_spin,balancebeam_spin_013,34
balancebeam_spin,balancebeam_spin_014,72
balancebeam_spin,balancebeam_spin_015,59
balancebeam_spin,balancebeam_spin_016,36
balancebeam_spin,balancebeam_spin_017,22
balancebeam_spin,balancebeam_spin_018,33
balancebeam_spin,balancebeam_spin_019,47
balancebeam_walk,balancebeam_walk_000,54
balancebeam_walk,balancebeam_walk_001,90
balancebeam_walk,balancebeam_walk_002,43
balancebeam_walk,balancebeam_walk_003,56
balancebeam_walk,balancebeam_walk_004,31
balancebeam_walk,balancebeam_walk_005,43
balancebeam_walk,balancebeam_walk_006,68
balancebeam_walk,balancebeam_walk_007,62
balancebeam_walk,balancebeam_walk_008,40
balancebeam_walk,balancebeam_walk_009,56
balancebeam_walk,balancebeam_walk_010,38
balancebeam_walk,balancebeam_walk_011,45
balancebeam_walk,balancebeam_walk_012,61
balancebeam_walk,balancebeam_walk_013,86
balancebeam_walk,balancebeam_walk_014,47
balancebeam_walk,balancebeam_walk_015,70
balancebeam_walk,balancebeam_walk_016,45
balancebeam_walk,balancebeam_walk_017,60
balancebeam_walk,balancebeam_walk_018,73
balancebeam_walk,balancebeam_walk_019,69
bandaging,bandaging_000,75
bandaging,bandaging_001,59
bandaging,bandaging_002,160
bandaging,bandaging_003,125
bandaging,bandaging_004,78
bandaging,bandaging_005,98
bandaging,bandaging_006,133
bandaging,bandaging_007,148
bandaging,bandaging_008,74
bandaging,bandaging_009,99
bandaging,bandaging_010,39
bandaging,bandaging_011,109
bandaging,bandaging_012,100
bandaging,bandaging_013,113
bandaging,bandaging_014,138
bandaging,bandaging_015,131
bandaging,bandaging_016,112
bandaging,bandaging_017,60
bandaging,bandaging_018,79
bandaging,bandaging_019,97
baseball_bunt,baseball_bunt_000,23
baseball_bunt,baseball_bunt_001,26
baseball_bunt,baseball_bunt_002,32
baseball_bunt,baseball_bunt_003,26
baseball_bunt,baseball_bunt_004,28
baseball_bunt,baseball_bunt_005,31
baseball_bunt,baseball_bunt_006,18
baseball_bunt,baseball_bunt_007,62
baseball_bunt,baseball_bunt_008,85
baseball_bunt,baseball_bunt_009,24
baseball_bunt,baseball_bunt_010,33
baseball_bunt,baseball_bunt_011,28
baseball_bunt,baseball_bunt_012,33
baseball_bunt,baseball_bunt_013,44
baseball_bunt,baseball_bunt_014,57
baseball_bunt,baseball_bunt_015,16
baseball_bunt,baseball_bunt_016,56
baseball_bunt,baseball_bunt_017,26
baseball_bunt,baseball_bunt_018,20
baseball_bunt,baseball_bunt_019,23
baseball_catch_catcher,baseball_catch_catcher_000,30
baseball_catch_catcher,baseball_catch_catcher_001,38
baseball_catch_catcher,baseball_catch_catcher_002,22
baseball_catch_catcher,baseball_catch_catcher_003,30
baseball_catch_catcher,baseball_catch_catcher_004,30
baseball_catch_catcher,baseball_catch_catcher_005,24
baseball_catch_catcher,baseball_catch_catcher_006,27
baseball_catch_catcher,baseball_catch_catcher_007,38
baseball_catch_catcher,baseball_catch_catcher_008,21
baseball_catch_catcher,baseball_catch_catcher_009,29
baseball_catch_catcher,baseball_catch_catcher_010,24
baseball_catch_catcher,baseball_catch_catcher_011,36
baseball_catch_catcher,baseball_catch_catcher_012,24
baseball_catch_catcher,baseball_catch_catcher_013,21
baseball_catch_catcher,baseball_catch_catcher_014,26
baseball_catch_catcher,baseball_catch_catcher_015,18
baseball_catch_catcher,baseball_catch_catcher_016,19
baseball_catch_catcher,baseball_catch_catcher_017,17
baseball_catch_catcher,baseball_catch_catcher_018,23
baseball_catch_catcher,baseball_catch_catcher_019,36
baseball_catch_groundball,baseball_catch_groundball_000,34
baseball_catch_groundball,baseball_catch_groundball_001,19
baseball_catch_groundball,baseball_catch_groundball_002,25
baseball_catch_groundball,baseball_catch_groundball_003,33
baseball_catch_groundball,baseball_catch_groundball_004,35
baseball_catch_groundball,baseball_catch_groundball_005,40
baseball_catch_groundball,baseball_catch_groundball_006,27
baseball_catch_groundball,baseball_catch_groundball_007,27
baseball_catch_groundball,baseball_catch_groundball_008,29
baseball_catch_groundball,baseball_catch_groundball_009,48
baseball_catch_groundball,baseball_catch_groundball_010,28
baseball_catch_groundball,baseball_catch_groundball_011,31
baseball_catch_groundball,baseball_catch_groundball_012,28
baseball_catch_groundball,baseball_catch_groundball_013,20
baseball_catch_groundball,baseball_catch_groundball_014,26
baseball_catch_groundball,baseball_catch_groundball_015,33
baseball_catch_groundball,baseball_catch_groundball_016,34
baseball_catch_groundball,baseball_catch_groundball_017,40
baseball_catch_groundball,baseball_catch_groundball_018,24
baseball_catch_groundball,baseball_catch_groundball_019,46
baseball_pitch,baseball_pitch_000,64
baseball_pitch,baseball_pitch_001,36
baseball_pitch,baseball_pitch_002,64
baseball_pitch,baseball_pitch_003,93
baseball_pitch,baseball_pitch_004,54
baseball_pitch,baseball_pitch_005,73
baseball_pitch,baseball_pitch_006,29
baseball_pitch,baseball_pitch_007,28
baseball_pitch,baseball_pitch_008,41
baseball_pitch,baseball_pitch_009,33
baseball_pitch,baseball_pitch_010,64
baseball_pitch,baseball_pitch_011,57
baseball_pitch,baseball_pitch_012,59
baseball_pitch,baseball_pitch_013,90
baseball_pitch,baseball_pitch_014,55
baseball_pitch,baseball_pitch_015,73
baseball_pitch,baseball_pitch_016,46
baseball_pitch,baseball_pitch_017,86
baseball_pitch,baseball_pitch_018,32
baseball_pitch,baseball_pitch_019,128
baseball_swing,baseball_swing_000,45
baseball_swing,baseball_swing_001,55
baseball_swing,baseball_swing_002,24
baseball_swing,baseball_swing_003,36
baseball_swing,baseball_swing_004,33
baseball_swing,baseball_swing_005,117
baseball_swing,baseball_swing_006,20
baseball_swing,baseball_swing_007,33
baseball_swing,baseball_swing_008,56
baseball_swing,baseball_swing_009,24
baseball_swing,baseball_swing_010,29
baseball_swing,baseball_swing_011,30
baseball_swing,baseball_swing_012,27
baseball_swing,baseball_swing_013,39
baseball_swing,baseball_swing_014,15
baseball_swing,baseball_swing_015,27
baseball_swing,baseball_swing_016,68
baseball_swing,baseball_swing_017,15
baseball_swing,baseball_swing_018,27
baseball_swing,baseball_swing_019,50
basketball_dribble,basketball_dribble_000,138
basketball_dribble,basketball_dribble_001,87
basketball_dribble,basketball_dribble_002,63
basketball_dribble,basketball_dribble_003,46
basketball_dribble,basketball_dribble_004,43
basketball_dribble,basketball_dribble_005,68
basketball_dribble,basketball_dribble_006,63
basketball_dribble,basketball_dribble_007,80
basketball_dribble,basketball_dribble_008,121
basketball_dribble,basketball_dribble_009,80
basketball_dribble,basketball_dribble_010,125
basketball_dribble,basketball_dribble_011,69
basketball_dribble,basketball_dribble_012,139
basketball_dribble,basketball_dribble_013,167
basketball_dribble,basketball_dribble_014,119
basketball_dribble,basketball_dribble_015,65
basketball_dribble,basketball_dribble_016,33
basketball_dribble,basketball_dribble_017,90
basketball_dribble,basketball_dribble_018,68
basketball_dribble,basketball_dribble_019,45
basketball_jabstep,basketball_jabstep_000,41
basketball_jabstep,basketball_jabstep_001,67
basketball_jabstep,basketball_jabstep_002,40
basketball_jabstep,basketball_jabstep_003,60
basketball_jabstep,basketball_jabstep_004,81
basketball_jabstep,basketball_jabstep_005,32
basketball_jabstep,basketball_jabstep_006,54
basketball_jabstep,basketball_jabstep_007,49
basketball_jabstep,basketball_jabstep_008,36
basketball_jabstep,basketball_jabstep_009,47
basketball_jabstep,basketball_jabstep_010,48
basketball_jabstep,basketball_jabstep_011,56
basketball_jabstep,basketball_jabstep_012,54
basketball_jabstep,basketball_jabstep_013,49
basketball_jabstep,basketball_jabstep_014,74
basketball_jabstep,basketball_jabstep_015,84
basketball_jabstep,basketball_jabstep_016,47
basketball_jabstep,basketball_jabstep_017,45
basketball_jabstep,basketball_jabstep_018,72
basketball_jabstep,basketball_jabstep_019,30
basketball_layup,basketball_layup_000,92
basketball_layup,basketball_layup_001,60
basketball_layup,basketball_layup_002,43
basketball_layup,basketball_layup_003,42
basketball_layup,basketball_layup_004,50
basketball_layup,basketball_layup_005,43
basketball_layup,basketball_layup_006,41
basketball_layup,basketball_layup_007,51
basketball_layup,basketball_layup_008,33
basketball_layup,basketball_layup_009,107
basketball_layup,basketball_layup_010,62
basketball_layup,basketball_layup_011,27
basketball_layup,basketball_layup_012,41
basketball_layup,basketball_layup_013,41
basketball_layup,basketball_layup_014,45
basketball_layup,basketball_layup_015,35
basketball_layup,basketball_layup_016,43
basketball_layup,basketball_layup_017,52
basketball_layup,basketball_layup_018,43
basketball_layup,basketball_layup_019,44
basketball_pass,basketball_pass_000,17
basketball_pass,basketball_pass_001,19
basketball_pass,basketball_pass_002,21
basketball_pass,basketball_pass_003,14
basketball_pass,basketball_pass_004,25
basketball_pass,basketball_pass_005,20
basketball_pass,basketball_pass_006,18
basketball_pass,basketball_pass_007,25
basketball_pass,basketball_pass_008,13
basketball_pass,basketball_pass_009,34
basketball_pass,basketball_pass_010,20
basketball_pass,basketball_pass_011,36
basketball_pass,basketball_pass_012,35
basketball_pass,basketball_pass_013,28
basketball_pass,basketball_pass_014,20
basketball_pass,basketball_pass_015,12
basketball_pass,basketball_pass_016,24
basketball_pass,basketball_pass_017,20
basketball_pass,basketball_pass_018,23
basketball_pass,basketball_pass_019,24
basketball_shoot,basketball_shoot_000,44
basketball_shoot,basketball_shoot_001,18
basketball_shoot,basketball_shoot_002,50
basketball_shoot,basketball_shoot_003,25
basketball_shoot,basketball_shoot_004,51
basketball_shoot,basketball_shoot_005,77
basketball_shoot,basketball_shoot_006,68
basketball_shoot,basketball_shoot_007,24
basketball_shoot,basketball_shoot_008,55
basketball_shoot,basketball_shoot_009,56
basketball_shoot,basketball_shoot_010,49
basketball_shoot,basketball_shoot_011,26
basketball_shoot,basketball_shoot_012,16
